Time,Altitude (ft * 1000),Speed (mph),Internal Temp (F),External Temp (F)
2012/05/11 10:14:00,-0.0360892389,0.00,94.1,94.1
2012/05/11 10:15:00,-0.0360892389,0.00,95,95
2012/05/11 10:16:00,-0.0360892389,0.00,95,95
2012/05/11 10:17:00,-0.0360892389,0.00,95,95
2012/05/11 10:18:00,-0.0360892389,0.00,95,94.1
2012/05/11 10:19:00,-0.0360892389,0.00,95,94.1
2012/05/11 10:20:00,0.0754593177,0.00,95.9,94.1
2012/05/11 10:21:00,0.0754593177,0.00,95.9,94.1
2012/05/11 10:22:00,0.0098425197,0.00,95.9,93.2
2012/05/11 10:23:00,0.0098425197,0.00,95.9,93.2
2012/05/11 10:24:00,0.0853018374,0.00,95.9,93.2
2012/05/11 10:25:00,0.0853018374,0.00,95.9,93.2
2012/05/11 10:26:00,0.0853018374,0.00,95.9,93.2
2012/05/11 10:27:00,0.0853018374,0.00,95.9,94.1
2012/05/11 10:28:00,0.0853018374,0.00,95.9,92.3
2012/05/11 10:29:00,0.0853018374,0.00,95,91.4
2012/05/11 10:30:00,0.7053805785,12.66,95,89.6
2012/05/11 10:31:00,0.7053805785,12.66,93.2,87.8
2012/05/11 10:32:00,2.7099737574,2.30,92.3,85.1
2012/05/11 10:33:00,2.7099737574,2.30,90.5,83.3
2012/05/11 10:34:00,4.2814960695,9.21,89.6,81.5
2012/05/11 10:35:00,4.2814960695,9.21,87.8,79.7
2012/05/11 10:36:00,4.0518372765,10.36,86,77
2012/05/11 10:37:00,4.0518372765,10.36,84.2,74.3
2012/05/11 10:38:00,7.0505249451,14.96,83.3,72.5
2012/05/11 10:39:00,4.0518372765,10.36,80.6,69.8
2012/05/11 10:40:00,8.5137795405,10.36,78.8,67.1
2012/05/11 10:41:00,7.0505249451,14.96,77,64.4
2012/05/11 10:42:00,10.2395013279,11.51,75.2,62.6
2012/05/11 10:43:00,10.2395013279,11.51,72.5,59.9
2012/05/11 10:44:00,11.4074803323,10.36,71.6,58.1
2012/05/11 10:45:00,7.0505249451,14.96,69.8,56.3
2012/05/11 10:46:00,12.860892408,3.45,67.1,54.5
2012/05/11 10:46:00,12.860892408,3.45,69.8,56.3
2012/05/11 10:47:00,8.5137795405,10.36,65.3,51.8
2012/05/11 10:48:00,8.5137795405,10.36,63.5,50
2012/05/11 10:49:00,10.2395013279,11.51,61.7,49.1
2012/05/11 10:50:00,12.860892408,3.45,60.8,47.3
2012/05/11 10:51:00,11.4074803323,10.36,59,45.5
2012/05/11 10:52:00,11.4074803323,10.36,57.2,44.6
2012/05/11 10:53:00,12.860892408,3.45,56.3,42.8
2012/05/11 10:54:00,12.860892408,3.45,54.5,41
2012/05/11 10:55:00,15.7217848008,8.06,52.7,39.2
2012/05/11 10:56:00,14.2683727251,4.60,50,36.5
2012/05/11 10:57:00,15.7217848008,8.06,48.2,34.7
2012/05/11 10:58:00,15.7217848008,8.06,46.4,32.9
